hanzi_trad	hanzi_simp	pinyin	transcr	transc_rus	rus_translation	note	chinese_translation
NONE	NONE	NONE	á	NONE	а		NONE
NONE	NONE	NONE	agá	NONE	ага		NONE
NONE	NONE	NONE	bába	NONE	баба		NONE
NONE	NONE	NONE	bábusikə	NONE	бабушка		NONE
NONE	NONE	NONE	bálasyn'a	NONE	барышня		NONE
NONE	NONE	NONE	bédənə	NONE	бедный		NONE
NONE	NONE	NONE	béry bélin'ki	NONE	белый		NONE
NONE	NONE	NONE	bəlískə	NONE	близко		NONE
NONE	NONE	NONE	bóga	NONE	бог		NONE
NONE	NONE	NONE	baís'a	NONE	боится		NONE
NONE	NONE	NONE	baléj balí	NONE	болей		NONE
NONE	NONE	NONE	balinísə	NONE	больница		NONE
NONE	NONE	NONE	ból'enə	NONE	больно		NONE
NONE	NONE	NONE	bós'e	NONE	больше		NONE
NONE	NONE	NONE	bə'shój bolshína	NONE	большой		NONE
NONE	NONE	NONE	botínəka	NONE	ботинок		NONE
NONE	NONE	NONE	brála	NONE	брала		NONE
NONE	NONE	NONE	bərátə	NONE	брат		NONE
NONE	NONE	NONE	búdu búdi	NONE	буду		NONE
NONE	NONE	NONE	búkə	NONE	буква		NONE
NONE	NONE	NONE	bulədóƷilə	NONE	бульдозер		NONE
NONE	NONE	NONE	bumágə	NONE	бумага		NONE
NONE	NONE	NONE	butýka budíli	NONE	бутылка		NONE
NONE	NONE	NONE	by	NONE	бы		NONE
NONE	NONE	NONE	byl	NONE	был		NONE
NONE	NONE	NONE	býla	NONE	была		NONE
NONE	NONE	NONE	b'ótə	NONE	бьет		NONE
NONE	NONE	NONE	waláj	NONE	баляй		NONE
NONE	NONE	NONE	wáni	NONE	Ваня		NONE
NONE	NONE	NONE	wári	NONE	вари		NONE
NONE	NONE	NONE	wása wášə	NONE	ваша		NONE
NONE	NONE	NONE	ber'əxú	NONE	верху		NONE
NONE	NONE	NONE	wisənój	NONE	весной		NONE
NONE	NONE	NONE	bécherəm	NONE	вечером		NONE
NONE	NONE	NONE	wéshi	NONE	вещи		NONE
NONE	NONE	NONE	bídil	NONE	видел		NONE
NONE	NONE	NONE	bídili	NONE	видели		NONE
NONE	NONE	NONE	bídi	NONE	видит		NONE
NONE	NONE	NONE	bídit	NONE	видит		NONE
NONE	NONE	NONE	bisí	NONE	виси		NONE
NONE	NONE	NONE	Bídi	NONE	Витя		NONE
NONE	NONE	NONE	unúchəka	NONE	внучка		NONE
NONE	NONE	NONE	wadá	NONE	вода		NONE
NONE	NONE	NONE	wótka	NONE	водка		NONE
NONE	NONE	NONE	wajná	NONE	война		NONE
NONE	NONE	NONE	wólia	NONE	воля		NONE
NONE	NONE	NONE	waróna	NONE	ворона		NONE
NONE	NONE	NONE	woróta	NONE	ворота		NONE
NONE	NONE	NONE	worteníka	NONE	воротник		NONE
NONE	NONE	NONE	Wosətókə	NONE	Восток		NONE
NONE	NONE	NONE	wótə wót	NONE	вот		NONE
NONE	NONE	NONE	wótə_iwó	NONE	вот его		NONE
NONE	NONE	NONE	urém'a	NONE	время		NONE
NONE	NONE	NONE	se	NONE	все		NONE
NONE	NONE	NONE	sigədá	NONE	всегда		NONE
NONE	NONE	NONE	s'ó is'ó	NONE	всё		NONE
NONE	NONE	NONE	s'orém' us'ol'ém'a	NONE	всё время		NONE
NONE	NONE	NONE	s'oranó	NONE	всё равно		NONE
NONE	NONE	NONE	s'ákə	NONE	всякий		NONE
NONE	NONE	NONE	wuchila	NONE	вчера		NONE
NONE	NONE	NONE	býgoni	NONE	выгони		NONE
NONE	NONE	NONE	bygon'ála	NONE	выгоняла		NONE
NONE	NONE	NONE	uípil	NONE	выпил		NONE
NONE	NONE	NONE	idé	NONE	где		NONE
NONE	NONE	NONE	gəlazá	NONE	глаза		NONE
NONE	NONE	NONE	gawarí gawalí kawalí gaowulí	NONE	говори		NONE
NONE	NONE	NONE	gavalíla	NONE	говорила		NONE
NONE	NONE	NONE	gavarítə	NONE	говорит		NONE
