word	pinyin_final	origin	lang	rus_transcription	syllables
艾木兴(井)	àimùxing(jíng)	эмшер(ский колодец)	!	Эмшър	mù
艾特纳(舞)	àitènà(wǔ)	этнэ	татарский	этнЭ	tè
爱特罗尔	àitèluó'ěr	этрол		итрОл	tè
奥白尔塔斯(舞)	àobái'ěrtǎsī(wǔ)	обертас		аб’иртАс	sī
奥克索尔(油)	àokèsuǒ'ěr(yóu)	оксоль		аксОл’	kè
奥司脱拉特	àosītuōlātè	астролит		астрал’Ит	sī_tuō_tè
奥西米那	àoximǐnā	осьмина		ас’м’Ина	xi
巴尔卡波祖克(笛)	bā'ěrkǎpǒzǔkè(dí)	паркапзук	армянский	пъркабзук	pǒ_kè
贝尔科维次	bèi'ěrkēwéicì	берковец		б’Эркъв’ьц	cì
焙结纳克斯(胶)	bēijiénàkèsī(jiāo)	пертинакс		п’ьрт’инАкс	kè_sī
彼得鲁什卡	bídélǔshíkǎ	петрушка		п’итрУшкъ	dé_shí
波尔特阔维契(车刀)	bō'ěrtèkuòwéiqì(chedao)	(резец )Бортковича		барткОв’ьч’	tè_qì
波特文牙(汤)	bōtèwényá(tāng)	ботвинья		батв’Ин’й’ь	tè
泊列考斯(羊)	bólièkǎosī(yáng)	прекос	французский	пр’икОс	bó_sī
博尔食(汤)	bó'ěrshí(tāng)	борщ		бОрш’	shí
博克式(头)	bókèshì(tóu)	бокс( прическа)		бОкс	kè_shì
布尔什维克	bù'ěrshíwéikè	большевик		бъл’шыв’Ик	kè
布拉吉	bùlājí	платье		плАт’iь	bù
禅格(琴)	chángé(qín)	ченг		ч’Энк	gé
昌科布兹(琴)	chāngkēbùzī(qín)	чанг-кобуз		ч’Анк-кабУс	zī
赤特维里克	chìtèwéilǐkè	четверик		ч’ьтвир’Ик	tè_kè
楚赤贺拉	chǔchìhèlā	чурчхела		ч’урч’х’Элъ	chì
达克斯(狗)	dákèsī(gǒu)	такса( собака)		тАксъ	kè
德拉德达姆(呢)	délādédámǔ(ní)	драдедам	французский	дръдыдАм	dé_mǔ
多木拉	duōmùlā	домра		дОмръ	mù
方特	fāngtè	фант	немецкий	фАнт	tè
费兰德(兔)	fèilándé(tù)	фландр		флАндр	fèi_dé
分特	fēntè	фунт	немецкий	фУнт	tè
佛克律斯(泉)	fókèlǜsī(quàn)	воклюзы	французский	вакл’Узъ	kè
 弗列克萨顿	fúlièkèsàdùn	флексатон		фл’ьксатОн	fú_kè
伏特加	fútějiā	водка	伏特卡 俄得克	вОткъ	tě
福尔什马克	fú'ěrshímǎkè	форшмак		фаршмАк	shí_kè
盖克塞纳	gàikèsàinà	гексенал		г’ькс’инАл	kè
高士泼林	gāoshìpōlín	госплан		госплАн	shì_pō
戈斯帕京	gēsīpàjīng	господин		гъспад’Ин	sī
格兰尼托皮	gélánnítuōpí	гранитоль		грън’итОл’	gé
格林斯本	gélínsǐběn	гринсбон		гр’инзбОн	gé_sǐ
格鲁乌	gélǔwū	ГРУ		грУ	gé
格罗什	géluóshí	грош		грОш	gé_shí
格丝里	gésīlǐ	гесль		г’Эсл’	sī_lǐ
古丝理	gǔsīlǐ	гусли		гУсл’ь	sī
