hanzi_trad	hanzi_simp	pinyin	transcr	transc_rus	rus_translation	note	chinese_translation
NONE	阿尔申	āěrshén	NONE	NONE	аршин		NONE
NONE	阿尔西非合金	āěrxǐfēi	NONE	NONE	альсифер		NONE
NONE	阿法林	āfǎlín	NONE	NONE	афалина		NONE
NONE	阿留米特	āliúmǐtè	NONE	NONE	алюмит		NONE
NONE	阿依尔	āyi'ěr	NONE	NONE	аил		NONE
NONE	阿札林	āzhálín	NONE	NONE	азарин		NONE
NONE	艾费勃	àifèibó	NONE	NONE	офеб(ы)		NONE
NONE	艾米利通	àimǐlìtōng	NONE	NONE	эмиритон		NONE
NONE	艾木兴井	àimùxing(jíng)	NONE	NONE	эмшер(ский колодец)	!	NONE
NONE	艾特纳舞	àitènà(wǔ)	NONE	NONE	этнэ	татарский	NONE
NONE	艾匹配舞	àipìpèi(wǔ)	NONE	NONE	эпипэ	татарский	NONE
NONE	爱特罗尔	àitèluó'ěr	NONE	NONE	этрол		NONE
NONE	安诺文化	ānnuò(wénhuà)	NONE	NONE	анауская культура		NONE
NONE	奥白尔塔斯舞	àobái'ěrtǎsī(wǔ)	NONE	NONE	обертас		NONE
NONE	奥白列克舞	àobáilièkè(wǔ)	NONE	NONE	оберек		NONE
NONE	奥克索尔油	àokèsuǒ'ěr(yóu)	NONE	NONE	оксоль		NONE
NONE	奥罗悲拉	àoluóběilā	NONE	NONE	оровела		NONE
NONE	奥潘诺尔	àopānnuò'ěr	NONE	NONE	оппанол		NONE
NONE	奥司脱拉特	àosītuōlātè	NONE	NONE	астролит		NONE
NONE	奥苏奥海舞	àosūàohǎi(wǔ)	NONE	NONE	осуохай	якутский	NONE
NONE	奥西米那	àoximǐnā	NONE	NONE	осьмина		NONE
NONE	巴尔卡波祖克笛	bā'ěrkǎpǒzǔkè(dí)	NONE	NONE	паркапзук	армянский	NONE
NONE	巴拉贝伦枪	pālābèilún(qiāng)	NONE	NONE	парабеллум	немецкий	NONE
NONE	巴拉莱卡	bālāláikǎ	NONE	NONE	балалайка		NONE
NONE	巴立克	bālìkè	NONE	NONE	парик		NONE
NONE	巴扬	bāyáng	NONE	NONE	баян		NONE
NONE	板都拉	bāndūlā	NONE	NONE	бандура		NONE
NONE	班都里	bāndūlǐ	NONE	NONE	пандури	грузинский	NONE
NONE	贝尔科维次	bèi'ěrkēwéicì	NONE	NONE	берковец		NONE
NONE	贝科夫 车刀	bèikēfū(chedao)	NONE	NONE	резец Быкова		NONE
NONE	贝伊勒贝伊	bèiyilèbèiyi	NONE	NONE	бейлербей	тюркские	NONE
NONE	焙结纳克斯胶	bēijiénàkèsī(jiāo)	NONE	NONE	пертинакс		NONE
NONE	崩得	bēngdé	NONE	NONE	бунд	идиш	NONE
NONE	比奥熙诺尔	bǐ'àoxīnuò'ěr	NONE	NONE	биохиноль		NONE
NONE	比曲格马	bǐqūgé(mǎ)	NONE	NONE	битюк/битюг		NONE
NONE	彼得鲁什卡	bídélǔshíkǎ	NONE	NONE	петрушка		NONE
NONE	彼尔湖里舞	bí'ěrhúlǐ(wǔ)	NONE	NONE	перхули	грузинский	NONE
NONE	壁里砌	bìlìqì	NONE	NONE	печь		NONE
NONE	别旦式枪	biédàn(shìqiāng)	NONE	NONE	берданка		NONE
NONE	别伊	biéyi	NONE	NONE	бей		NONE
NONE	波尔特阔维契 车刀	bō'ěrtèkuòwéiqì(chedao)	NONE	NONE	резец Бортковича		NONE
NONE	波加的尔	bōjiādìěr	NONE	NONE	богатырь		NONE
NONE	波利瓦帽	bōlìwǎ(mào)	NONE	NONE	боливар (шляпа)		NONE
NONE	波舍杭	bōshěháng	NONE	NONE	пошехонец		NONE
NONE	波特文牙汤	bōtèwényá(tāng)	NONE	NONE	ботвинья		NONE
NONE	波雅尔	bōyǎ'ěr	NONE	NONE	бояре		NONE
NONE	泊列考斯羊	bólièkǎosī(yáng)	NONE	NONE	прекос	французский	NONE
NONE	博尔食汤	bó'ěrshí(tāng)	NONE	NONE	борщ		NONE
NONE	博克式头	bókèshì(tóu)	NONE	NONE	бокс (прическа)		NONE
NONE	布尔达	bù'ěrdá	NONE	NONE	бурда		NONE
NONE	布尔冈 红酒	bu'4ěrgāng(hongjiu)	NONE	NONE	бургонское		NONE
NONE	布尔什维克	bù'ěrshíwéikè	NONE	NONE	большевик		NONE
NONE	布加风	bùjiā(fēng)	NONE	NONE	пурга	через англ	NONE
NONE	布拉吉	bùlājí	NONE	NONE	платье		NONE
NONE	布冷风	bùlěng(fēng)	NONE	NONE	буран/буря	через англ	NONE
NONE	布乍	bùzhà	NONE	NONE	буза		NONE
NONE	采鲁里舞	cǎilǔlǐ(wǔ)	NONE	NONE	церули	грузинский	NONE
NONE	查奴里琴	chánúlǐ(qín)	NONE	NONE	чванури	грузинский	NONE
NONE	察庞漆	chápáng(qī)	NONE	NONE	цапонлак	немецкий	NONE
NONE	禅格琴	chángé(qín)	NONE	NONE	ченг		NONE
NONE	昌吉琴	chāngjí(qín)	NONE	NONE	чанги	грузинский	NONE
NONE	昌科布兹琴	chāngkēbùzī(qín)	NONE	NONE	чанг-кобуз		NONE
NONE	赤特维里克	chìtèwéilǐkè	NONE	NONE	четверик		NONE
NONE	楚赤贺拉	chǔchìhèlā	NONE	NONE	чурчхела		NONE
NONE	楚尼利琴	chǔnílǐ(qín)	NONE	NONE	чунири		NONE
NONE	达克斯狗	dákèsī(gǒu)	NONE	NONE	такса (собака)		NONE
NONE	达那猛	dánàměng	NONE	NONE	динамон		NONE
NONE	达恰	dáqià	NONE	NONE	дача		NONE
NONE	德荷林	déhélín	NONE	NONE	дехолин		NONE
NONE	德拉德达姆呢	délādédámǔ(ní)	NONE	NONE	драдедам	французский	NONE
NONE	德纳立脱 炸药	dénàlìtuō(zhàyào)	NONE	NONE	донарит		NONE
NONE	狄纳磨	dínàmó	NONE	NONE	динамо		NONE
NONE	斗淋	dòulín	NONE	NONE	долина	через англ	NONE
NONE	杜阿登诺尔布	dù'ādēngnuò'ěr(bù)	NONE	NONE	туальденор		NONE
NONE	杜洛克	dùluòkè	NONE	NONE	дурак (игра)		NONE
NONE	杜马	dùmǎ	NONE	NONE	дума		NONE
NONE	杜塔尔	dùtǎ'ěr	NONE	NONE	дутар		NONE
NONE	杜瓦里希	dùwǎlǐxī	NONE	NONE	товарищ	托瓦里什	NONE
NONE	敦客	dūnkè	NONE	NONE	думка	через англ	NONE
NONE	多木拉	duōmùlā	NONE	NONE	домра		NONE
NONE	多依那	duōyīnà	NONE	NONE	дойна	румынское	NONE
NONE	法奥利特	fǎ'àolìtè	NONE	NONE	фаолит		NONE
NONE	方特	fāngtè	NONE	NONE	фант	немецкий	NONE
NONE	非那丁	fēinàdīng	NONE	NONE	фенатин		NONE
NONE	费兰德兔	fèilándé(tù)	NONE	NONE	фландр		NONE
NONE	分特	fēntè	NONE	NONE	фунт	немецкий	NONE
NONE	芬卡帽	fēnkǎ(mào)	NONE	NONE	финка (шапка)	немецкий	NONE
