label_zh	label_ru	translit	stress	stressed_syl	tone
奥涅加	онега	àonièjiā	Э	niè	4
奥特拉德诺耶	отрадное	àotèlādénuòyē	А	lā	1
贝加尔	байкал	bèijiāěr	А	jiā	1
拉多加	ладога	lāduōjiā	А	lā	1
伏尔加	волга	fúěrjiā	О	fú	2
普斯科夫	псков-	pǔsīkēfū	О	kē	1
列佩利	лепель-	lièpèilì	Э	liè	4
哈桑	хасан	hāsāng	А	sāng	1
谢利格尔	селигер	xièlìgéěr	Э	gé	2
拉马	лама	lāmǎ	А	lā	1
泰梅尔	таймыр	tàiméiěr	Ы	méi	2
加利	галь-	jiālì	А	jiā	1
加里	гарь	jiālǐ	А	jiā	1
孔德	конд-	kǒngdé	О	kǒng	3
苏姆	сум-	sūmǔ	У	sū	1
乌尔	ур-	wūěr	У	wū	1
克柳奇	ключи	kèliǔqí	И	qí	2
休奇耶	щучье	xiūqíyē	У	xiū	1
古比雪夫	куйбышев-	gǔbǐxuěfū	У	gǔ	3
沙尔	шар	shāěr	А	shā	1
车臣	чечЕнь	chēchén	Э	chén	2
乌什	уш	wūshí	У	wū	1
苏霍伊	сухой	sūhuòyī	О	huò	4
彼得格勒	петроград-	bǐdégélè	А	lè	4
施密特	шмидт-	shīmìtè	И	mì	4
海斯	хейс-	hǎisī	Э	hǎi	3
哈雷	харли	hāléi	А	hā	1
费尔斯曼	ферсман-	fèiěrsīmàn	Э	fèi	4
乌沙科夫	ушаков-	wūshākēfū	О	kē	1
索尔兹伯里	солсбери	suǒěrzībólǐ	О	suǒ	3
索洛维约夫	соловьЁв-	suǒluòwéiyuēfū	О	yuē	1
鲁道夫	рудольф-	lǔdàofū	О	dào	4
罗伯逊	робертсон-	luóbóxùn	О	luó	2
波波夫	попов-	bōbōfū	О	bō	1
牛顿	ньютон-	niúdùn	О	dùn	4
南森	нансен-	nánsēn	А	nán	2
拉夫罗夫	лавров-	lāfūluófū	О	luó	2
库恩	кун-	kùēn	У	kù	4
高尔察克	колчак-	gāoěrchákè	А	chá	2
约翰	ион-	yuēhàn	О	hàn	4
伊万诺夫	иванов-	yīwànnuòfū	О	nuò	4
迪克	дик-	díkè	И	dí	2
杰斐逊	джефферсон-	jiéfěixùn	Э	jié	2
杰克逊	джексон-	jiékèxùn	Э	jié	2
戴维	давид-	dàiwéi	И	wéi	2
霍夫曼	гофман-	huòfūmàn	О	huò	4
霍尔	галль-	huòěr	А	huò	4
弗兰格尔	врангель-	fúlángéěr	А	lán	2
白令	беринг-	báilìng	Э	bái	2
贝克尔	беккер-	bèikèěr	Э	bèi	4
安德烈耶夫	андреев-	āndélièyēfū	Э	liè	4
阿德莱德	аделаида	ādéláidé	И	lái	2
新西伯利亚	новая сибирь	xīnxībólìyà	И	bó	2
马卡尔	макар	mǎkǎěr	А	kǎ	3
科穆纳尔	коммунар	kēmùnàěr	А	nà	4
克林	клин	kèlín	И	ín	2
基	кий	jī	И	jī	1
迪克森	диксон	díkèsēn	И	dí	2
戴维斯	дауэс	dàiwéisī	А	dài	4
维多利亚	виктория	wéiduōlìyà	О	duō	1
瓦西里	васильевский	wǎxīlǐ	И	xī	1
布扬	буян	bùyáng	А	yáng	2
布尔什维克	большевик	bùěrshíwéikè	И	wéi	2
别雷	белый	biéléi	Э	bié	2
贝尔	белл	bèiěr	Э	bèi	4
第聂伯	днепр	dìnièbó	Э	niè	4
通古斯	подкаменная тунгуска	tōnggǔsī	У	gǔ	3
阿纳德尔	анАдырь	ānàdéěr	А	nà	4
卢加	луга	lújiā	У	lú	2
沃尔霍夫	вОлхов	wòěrhuòfū	О	wò	4
皮萨	писса	písà	И	pí	2
维京	витим	wéijīng	И	jīng	1
沃洛格达	вологда	wòluògēdá	О	wò	4
库尔	кур	kùěr	У	kù	4
额尔古纳	аргунь	éěrgǔnà	У	gǔ	3
鄂毕	обь	èbì	О	è	4
顿	дон	dùn	О	dùn	4
纳德姆	надым	nàdémǔ	Ы	dé	2
伯朝拉	печора	bócháolā	О	cháo	2
库班	кубань	kùbān	А	bān	1
捷列克	тЕрек	jiélièkè	Э	jié	2
乌拉尔	урал	wūlāěr	А	lā	1
叶尼塞	енисей	yènísāi	Э	sāi	1
普尔	пур	pǔěr	У	pǔ	3
涅瓦	нева	nièwǎ	Э	niè	4
图们	туман-	túmén	А	mén	2
阿巴坎	абакан	ābākǎn	А	kǎn	3
卡马	кама	kǎmǎ	А	kǎ	3
